task_model_slug,n_rows_total,n_rows_ok,parse_rate,n_articles,n_prompts_evaluated,qwk_direction,qwk_confidence,mae,exact_match_rate,warning
claude_sonnet46,1330,1081,0.8128,35,38,0.8728271117466451,0.13683339333316324,1.7132284921369103,0.16003700277520813,
gemma4e2b,1330,1330,1.0,35,38,0.6357285429141717,0.33804323882053056,2.4218045112781956,0.23609022556390977,
gptoss120b,1330,1325,0.9962,35,38,0.7915127129478473,0.26979022475224734,1.9215094339622643,0.22339622641509435,
qwen36,805,662,0.8224,35,23,0.793784724098987,0.38454794023555827,1.9229607250755287,0.24471299093655588,
